video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=bUhcHJd0NzE,/user/Styxhexenhammer666,Styxhexenhammer666,"Styxhexenhammer Show ep. 39: SOTU Delay, SCOTUS Arguments, etc",34K,34K views,,2022-01-19 04:27:35.529942
/watch?v=xGJJaaW7EKE,/channel/UCsN2mtJc7TrkXf-YWTx5uLA,المبدعون السوريون - Creative Syrians,ماذا لو تم إعادة إنتاج تنظيم الدولة؟,90,90 views,,2022-01-19 04:27:35.532573
/watch?v=0RPkvWPgjTY,/channel/UCl7ftb-K0wfyDJa4KK6CU4Q,Shorts Facts,इस लड़की से सारे आतंकवादी डरते हैं #shorts #youtubeshorts,No,No views,,2022-01-19 04:27:35.535323
/watch?v=1bcyZ9iGnj0,/c/EagleNews,Eagle News,"WATCH: Eagle News International - January 14, 2022",883,883 views,,2022-01-19 04:27:48.940226
/watch?v=VWuO_D6HiMA,/c/TRTWorldNow,TRT World Now,Erdogan: All parties should refrain from steps endangering Bosnia’s territorial integrity,869,869 views,,2022-01-19 04:27:48.943668
/watch?v=Lth-fcyO6zQ,/user/Euronews,euronews,Top news stories today | January 13th – Evening,888,888 views,,2022-01-19 04:27:48.947121
/watch?v=LmZ_1TmC-8s,/user/mayadeentvchannel,Al Mayadeen Programs - برامج الميادين,كلمة حرة | مستقبل العالم | 2022-01-10,1.3K,1.3K views,,2022-01-19 04:27:48.949898
/watch?v=7dNuAvp_Dzo,/channel/UCmrW5p6LpC13I-fRbIobXrQ,Pommy Pie,Syria report Jan 17,1.6K,1.6K views,,2022-01-19 04:27:48.952601
/watch?v=euP0g3zcHSA,/channel/UCmVAWA_SBtxHczFv41QJTuQ,teleSUR English,FTS 8:30 04-09: Salvadorans commemorate 30th anniversary of end of civil war,No,No views,,2022-01-19 04:27:48.955464
/watch?v=qwMu9xCIfHY,/channel/UCKXGgjv6A813vIWmIS9NrMw,TEESRI JUNG,"#Hezbollah warns #US in#Iraq, no promise 'serenity will remain until the end of political dialogue'",No,No views,,2022-01-19 04:27:48.958475
/watch?v=90kK8bJbVyQ,/c/Anti-Defamation-League,Anti-Defamation League,ADL SVP George Selim Discusses the Congregation Beth Israel Hostage Crisis with Rachel Maddow,55,55 views,,2022-01-19 04:27:48.962197
/watch?v=JbMrfJYUHj4,/channel/UCNCVuaQDvPrZ4oTKG90iqOA,Medyascope,"This Week in Turkey (251): Pilots of the Bosphorus, attack on refugees",417,417 views,,2022-01-19 04:27:48.965877
/watch?v=PzOrChu_m_8,/channel/UCU8XRM8Ns5d2J0nJ7qxNOkA,Ahmad Hashemi,"Rutgers University Prof, Houshang Amirahamdi on July 28, 2021: We Iranians need a fascist movement!",15,15 views,,2022-01-19 04:27:48.968699
/watch?v=RWjDdvhAXYE,/user/cnnarabic,CNNArabic,تقارير: سوريا تتجه نحو الفوضى العسكرية والسياسية,564,564 views,,2022-01-19 04:27:48.972021
/watch?v=FKni1hMHMS0,/channel/UCmKYjVg6uvIYTymykYwyNmg,alyaumtv قناة اليوم,اللواء الثامن ودوره في الجنوب السوري.. هل تسعى روسيا لتفكيكه؟,38,38 views,,2022-01-19 04:27:48.974858
/watch?v=7F8Iy7gUmUw,/channel/UCt2sToaJAOnJR2favzs4AMQ,Bıınxet Kurd,YPG YPJ Yeni Şarkısı Sefqan Orkêş Jibo jinên cîhane 2021 ✌️💚❤️💛✌️🦁,42K,42K views,,2022-01-19 04:27:48.977624
/watch?v=pmhO7OY_CFw,/user/DasPanzermuseum,DasPanzermuseum,"Buchbesprechung: ""Kurdish Armour Against ISIS"" [Papierkrieg Folge 11]",22K,22K views,,2022-01-19 04:27:48.980900
/watch?v=lpGGBxlh290,/channel/UCtZyoTH5EbNE5CPFIt8qx9A,الدوري السوري للمحترفين - Syrian Pro League,البث المباشر : مباراة الجيش وجبلة,"Scheduled for 1/19/22, 12:00 PM","Scheduled for 1/19/22, 12:00 PM",,2022-01-19 04:27:48.983621
